,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev_y,AvgPointsPerGame,dkpts,player_name,dkstd,Projection Ceil,Projection Floor,Max Exposure,Projected Ownership,Max Deviation,Key,GPP,Play,predicted_ownership
0,PF,A'ja Wilson (40361881),A'ja Wilson,40361881,21600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,59.7979783612013,59.7979783612013,A'ja Wilson,12.07127540644066,71.86925376764196,47.72670295476064,100,0,12.071275406440662,A'ja Wilson(40361881),74.80000000000001,-2.9307462323580467,27.67952288675399
1,PG/SG,Aaliyah Nye (40361903),Aaliyah Nye,40361903,3000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,0.0,0.0,Aaliyah Nye,6.056348267631492,6.056348267631492,0.0,100,0,6.056348267631492,Aaliyah Nye(40361903),19.0,-12.943651732368508,0.0007747919287489148
2,PG/SG,Alexa Held (40361897),Alexa Held,40361897,3000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,0.0,0.0,Alexa Held,8.50367969524811,8.50367969524811,0.0,100,0,8.50367969524811,Alexa Held(40361897),19.0,-10.49632030475189,0.0007747919287489148
3,PF,Alyssa Thomas (40361882),Alyssa Thomas,40361882,18600,LAV@PHO 10/10/2025 08:00PM EDT,PHO,48.8632480004501,48.8632480004501,Alyssa Thomas,10.69043821237117,59.55368621282127,38.17280978807893,100,0,10.69043821237117,Alyssa Thomas(40361882),65.80000000000001,-6.246313787178742,27.157930255164246
4,PG/SG,Chelsea Gray (40361885),Chelsea Gray,40361885,13500,LAV@PHO 10/10/2025 08:00PM EDT,LAV,29.2297060070869,29.2297060070869,Chelsea Gray,9.009859386392824,38.23956539347972,20.21984662069408,100,0,9.009859386392822,Chelsea Gray(40361885),50.5,-12.260434606520278,9.329132118540684
5,PF,Cheyenne Parker Tyus (40361902),Cheyenne Parker Tyus,40361902,3000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,25.8754815770895,25.8754815770895,Cheyenne Parker-Tyus,10.151513342378852,36.02699491946835,15.723968234710648,100,0,10.151513342378852,Cheyenne Parker Tyus(40361902),19.0,17.02699491946835,23.359155872110634
6,PG/SG,Dana Evans (40361892),Dana Evans,40361892,6000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,15.9276569606846,15.9276569606846,Dana Evans,8.447278384824703,24.3749353455093,7.480378575859897,100,0,8.4472783848247,Dana Evans(40361892),28.0,-3.6250646544907,6.989069616748989
7,PG/SG,DeWanna Bonner (40361887),DeWanna Bonner,40361887,10500,LAV@PHO 10/10/2025 08:00PM EDT,PHO,19.0366693226239,19.0366693226239,DeWanna Bonner,12.568812530923516,31.605481853547417,6.467856791700385,100,0,12.568812530923516,DeWanna Bonner(40361887),41.5,-9.894518146452585,5.4727528171022835
8,PG/SG,Jackie Young (40361883),Jackie Young,40361883,15600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,36.6343568866141,36.6343568866141,Jackie Young,9.30693270716892,45.94128959378302,27.32742417944518,100,0,9.30693270716892,Jackie Young(40361883),56.8,-10.85871040621698,12.915458497231025
9,PG/SG,Jewell Loyd (40361888),Jewell Loyd,40361888,9600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,23.3799897513826,23.3799897513826,Jewell Loyd,12.570371397109676,35.95036114849228,10.809618354272924,100,0,12.570371397109678,Jewell Loyd(40361888),38.8,-2.84963885150772,10.210845268187436
10,PG/SG,Kahleah Copper (40361886),Kahleah Copper,40361886,12000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,26.1657022690441,26.1657022690441,Kahleah Copper,9.402769598611224,35.568471867655326,16.762932670432875,100,0,9.402769598611226,Kahleah Copper(40361886),46.0,-10.431528132344674,8.31756003983249
11,PF,Kalani Brown (40361901),Kalani Brown,40361901,3000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,13.9915914293014,13.9915914293014,Kalani Brown,8.956234266219534,22.947825695520933,5.035357163081866,100,0,8.956234266219534,Kalani Brown(40361901),19.0,3.947825695520933,33.23415247509883
12,PF,Kathryn Westbeld (40361895),Kathryn Westbeld,40361895,4200,LAV@PHO 10/10/2025 08:00PM EDT,PHO,10.7145692528555,10.7145692528555,Kathryn Westbeld,7.206507335171226,17.921076588026725,3.508061917684273,100,0,7.206507335171226,Kathryn Westbeld(40361895),22.6,-4.678923411973276,5.212830488456716
13,PF,Kiah Stokes (40361899),Kiah Stokes,40361899,3000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,10.8999952129892,10.8999952129892,Kiah Stokes,7.194499735650909,18.094494948640108,3.705495477338292,100,0,7.194499735650908,Kiah Stokes(40361899),19.0,-0.905505051359892,19.535286061552533
14,PG/SG,Kiana Williams (40361898),Kiana Williams,40361898,3000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,0.0,0.0,Kiana Williams,9.615277100479648,9.615277100479648,0.0,100,0,9.615277100479648,Kiana Williams(40361898),19.0,-9.384722899520352,0.0007747919287489148
15,PF,Kierstan Bell (40361896),Kierstan Bell,40361896,3600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,0.0,0.0,Kierstan Bell,6.215434783387806,6.215434783387806,0.0,100,0,6.215434783387806,Kierstan Bell(40361896),20.8,-14.584565216612194,0.27333960721012457
16,PG/SG,Kitija Laksa (40361900),Kitija Laksa,40361900,3000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,0.0,0.0,Kitija Laksa,7.095330142109527,7.095330142109527,0.0,100,0,7.095330142109527,Kitija Laksa(40361900),19.0,-11.904669857890472,0.0007747919287489148
17,PF,Megan Gustafson (40361894),Megan Gustafson,40361894,4500,LAV@PHO 10/10/2025 08:00PM EDT,LAV,9.16386202461317,9.16386202461317,Megan Gustafson,9.227507781780831,18.391369806394003,0.0,100,0,9.227507781780831,Megan Gustafson(40361894),23.5,-5.108630193605997,3.0659063329439054
18,PG/SG,Monique Akoa Makani (40361889),Monique Akoa Makani,40361889,8700,LAV@PHO 10/10/2025 08:00PM EDT,PHO,0.0,0.0,Monique Akoa Makani,6.435617169485093,6.435617169485093,0.0,100,0,6.435617169485093,Monique Akoa Makani(40361889),36.1,-29.664382830514903,0.0007747919287489148
19,PF,NaLyssa Smith (40361891),NaLyssa Smith,40361891,7500,LAV@PHO 10/10/2025 08:00PM EDT,LAV,20.6176402587108,20.6176402587108,NaLyssa Smith,9.992522134824544,30.610162393535344,10.625118123886256,100,0,9.992522134824544,NaLyssa Smith(40361891),32.5,-1.8898376064646565,9.822532855072039
20,PF,Natasha Mack (40361893),Natasha Mack,40361893,5100,LAV@PHO 10/10/2025 08:00PM EDT,PHO,21.9638320057566,21.9638320057566,Natasha Mack,8.248246117438594,30.212078123195194,13.715585888318008,100,0,8.248246117438594,Natasha Mack(40361893),25.3,4.912078123195197,35.00481801052681
21,PG/SG,Sami Whitcomb (40361890),Sami Whitcomb,40361890,8100,LAV@PHO 10/10/2025 08:00PM EDT,PHO,15.8758079103525,15.8758079103525,Sami Whitcomb,9.534356970415416,25.410164880767915,6.341450939937083,100,0,9.534356970415416,Sami Whitcomb(40361890),34.3,-8.889835119232082,4.470614700426111
22,PF,Satou Sabally (40361884),Satou Sabally,40361884,14100,LAV@PHO 10/10/2025 08:00PM EDT,PHO,34.1639330029322,34.1639330029322,Satou Sabally,11.20556397021325,45.369496973145445,22.95836903271895,100,0,11.205563970213248,Satou Sabally(40361884),52.3,-6.930503026854552,14.035579710269669
