,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev_y,AvgPointsPerGame,dkpts,player_name,dkstd,Projection Ceil,Projection Floor,Max Exposure,Projected Ownership,Max Deviation,Key,GPP,Play
0,SF/PF,A'ja Wilson (40361881),A'ja Wilson,40361881,21600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,59.7979783612013,59.7979783612013,A'ja Wilson,12.07127540644066,71.86925376764196,47.72670295476064,100,64.85099099415561,12.071275406440662,A'ja Wilson(40361881),74.80000000000001,-2.9307462323580467
1,PG/SG,Aaliyah Nye (40361903),Aaliyah Nye,40361903,3000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,0.0,0.0,Aaliyah Nye,6.056348267631492,6.056348267631492,0.0,100,0.001815277835503643,6.056348267631492,Aaliyah Nye(40361903),19.0,-12.943651732368508
2,PG/SG,Alexa Held (40361897),Alexa Held,40361897,3000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,0.0,0.0,Alexa Held,8.50367969524811,8.50367969524811,0.0,100,0.001815277835503643,8.50367969524811,Alexa Held(40361897),19.0,-10.49632030475189
3,SF/PF,Alyssa Thomas (40361882),Alyssa Thomas,40361882,18600,LAV@PHO 10/10/2025 08:00PM EDT,PHO,48.8632480004501,48.8632480004501,Alyssa Thomas,10.69043821237117,59.55368621282127,38.17280978807893,100,63.62893961732239,10.69043821237117,Alyssa Thomas(40361882),65.80000000000001,-6.246313787178742
4,PG/SG,Chelsea Gray (40361885),Chelsea Gray,40361885,13500,LAV@PHO 10/10/2025 08:00PM EDT,LAV,29.2297060070869,29.2297060070869,Chelsea Gray,9.009859386392824,38.23956539347972,20.219846620694078,100,21.857438275870486,9.009859386392822,Chelsea Gray(40361885),50.5,-12.260434606520278
5,SF/PF,Cheyenne Parker Tyus (40361902),Cheyenne Parker Tyus,40361902,3000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,25.8754815770895,25.8754815770895,Cheyenne Parker-Tyus,10.151513342378852,36.02699491946835,15.723968234710647,100,54.72870371686431,10.151513342378852,Cheyenne Parker Tyus(40361902),19.0,17.02699491946835
6,PG/SG,Dana Evans (40361892),Dana Evans,40361892,6000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,15.9276569606846,15.9276569606846,Dana Evans,8.447278384824703,24.3749353455093,7.480378575859897,100,16.374852002605028,8.4472783848247,Dana Evans(40361892),28.0,-3.6250646544907
7,PG/SG,DeWanna Bonner (40361887),DeWanna Bonner,40361887,10500,LAV@PHO 10/10/2025 08:00PM EDT,PHO,19.0366693226239,19.0366693226239,DeWanna Bonner,12.568812530923516,31.605481853547417,6.467856791700385,100,12.822238486812338,12.568812530923516,DeWanna Bonner(40361887),41.5,-9.894518146452583
8,PG/SG,Jackie Young (40361883),Jackie Young,40361883,15600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,36.6343568866141,36.6343568866141,Jackie Young,9.30693270716892,45.94128959378302,27.32742417944518,100,30.259924859114644,9.306932707168919,Jackie Young(40361883),56.8,-10.858710406216979
9,PG/SG,Jewell Loyd (40361888),Jewell Loyd,40361888,9600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,23.3799897513826,23.3799897513826,Jewell Loyd,12.570371397109675,35.95036114849228,10.809618354272924,100,23.92322429975219,12.570371397109678,Jewell Loyd(40361888),38.8,-2.84963885150772
10,PG/SG,Kahleah Copper (40361886),Kahleah Copper,40361886,12000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,26.1657022690441,26.1657022690441,Kahleah Copper,9.402769598611224,35.568471867655326,16.762932670432875,100,19.487402779426365,9.402769598611226,Kahleah Copper(40361886),46.0,-10.431528132344674
11,SF/PF,Kalani Brown (40361901),Kalani Brown,40361901,3000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,13.9915914293014,13.9915914293014,Kalani Brown,8.956234266219534,22.947825695520933,5.035357163081866,100,77.865060452051,8.956234266219534,Kalani Brown(40361901),19.0,3.947825695520933
12,SF/PF,Kathryn Westbeld (40361895),Kathryn Westbeld,40361895,4200,LAV@PHO 10/10/2025 08:00PM EDT,PHO,10.7145692528555,10.7145692528555,Kathryn Westbeld,7.206507335171226,17.921076588026725,3.508061917684273,100,12.213260482995656,7.206507335171226,Kathryn Westbeld(40361895),22.6,-4.678923411973276
13,SF/PF,Kiah Stokes (40361899),Kiah Stokes,40361899,3000,LAV@PHO 10/10/2025 08:00PM EDT,LAV,10.8999952129892,10.8999952129892,Kiah Stokes,7.194499735650909,18.094494948640108,3.7054954773382915,100,45.76967116193547,7.194499735650908,Kiah Stokes(40361899),19.0,-0.9055050513598921
14,PG/SG,Kiana Williams (40361898),Kiana Williams,40361898,3000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,0.0,0.0,Kiana Williams,9.615277100479647,9.615277100479647,0.0,100,0.001815277835503643,9.615277100479647,Kiana Williams(40361898),19.0,-9.384722899520353
15,SF/PF,Kierstan Bell (40361896),Kierstan Bell,40361896,3600,LAV@PHO 10/10/2025 08:00PM EDT,LAV,0.0,0.0,Kierstan Bell,6.215434783387806,6.215434783387806,0.0,100,0.6404136544569107,6.215434783387806,Kierstan Bell(40361896),20.8,-14.584565216612194
16,PG/SG,Kitija Laksa (40361900),Kitija Laksa,40361900,3000,LAV@PHO 10/10/2025 08:00PM EDT,PHO,0.0,0.0,Kitija Laksa,7.095330142109527,7.095330142109527,0.0,100,0.001815277835503643,7.095330142109527,Kitija Laksa(40361900),19.0,-11.904669857890472
17,SF/PF,Megan Gustafson (40361894),Megan Gustafson,40361894,4500,LAV@PHO 10/10/2025 08:00PM EDT,LAV,9.16386202461317,9.16386202461317,Megan Gustafson,9.227507781780831,18.391369806394003,0.0,100,7.183182484760906,9.227507781780833,Megan Gustafson(40361894),23.5,-5.108630193605997
18,PG/SG,Monique Akoa Makani (40361889),Monique Akoa Makani,40361889,8700,LAV@PHO 10/10/2025 08:00PM EDT,PHO,0.0,0.0,Monique Akoa Makani,6.435617169485093,6.435617169485093,0.0,100,0.001815277835503643,6.435617169485093,Monique Akoa Makani(40361889),36.099999999999994,-29.664382830514903
19,SF/PF,NaLyssa Smith (40361891),NaLyssa Smith,40361891,7500,LAV@PHO 10/10/2025 08:00PM EDT,LAV,20.6176402587108,20.6176402587108,NaLyssa Smith,9.992522134824544,30.610162393535344,10.625118123886256,100,23.013438213160484,9.992522134824544,NaLyssa Smith(40361891),32.5,-1.8898376064646563
20,SF/PF,Natasha Mack (40361893),Natasha Mack,40361893,5100,LAV@PHO 10/10/2025 08:00PM EDT,PHO,21.9638320057566,21.9638320057566,Natasha Mack,8.248246117438594,30.212078123195194,13.715585888318007,100,82.01359347270697,8.248246117438594,Natasha Mack(40361893),25.299999999999997,4.912078123195197
21,PG/SG,Sami Whitcomb (40361890),Sami Whitcomb,40361890,8100,LAV@PHO 10/10/2025 08:00PM EDT,PHO,15.8758079103525,15.8758079103525,Sami Whitcomb,9.534356970415416,25.410164880767915,6.341450939937083,100,10.474306037060206,9.534356970415416,Sami Whitcomb(40361890),34.3,-8.889835119232082
22,SF/PF,Satou Sabally (40361884),Satou Sabally,40361884,14100,LAV@PHO 10/10/2025 08:00PM EDT,PHO,34.1639330029322,34.1639330029322,Satou Sabally,11.20556397021325,45.369496973145445,22.95836903271895,100,32.8842826197715,11.205563970213248,Satou Sabally(40361884),52.3,-6.930503026854552
